""	"DejumbleFS"	"Original (HFS+)"
20	1474075	1073560
40	1239677	1421397
60	2166624	1909227
80	3208036	2516759
100	3388000	3256111
120	3676340	4417973
140	4558261	4646772
160	5395972	5154464
180	5462547	6052037
200	5910927	6764689
