""	"DejumbleFS"	"Original (HFS+)"
50	2103020	587974
100	2660628	1514387
150	3629967	1867348
200	5046931	1674830
250	6395120	2389248
300	6784857	3179394
350	7840067	3615340
400	9533978	3688690
450	12817465	4369370
500	11976265	3909615
