""	"DejumbleFS"	"Original (HFS+)"
20	980016	636331
40	2007096	1361491
60	2367945	2354796
80	3018913	2658050
100	3990165	3313408
120	4479137	4973099
140	4787246	5578191
160	6483639	6391866
180	7005371	6904726
200	7172945	7416056
