""	"DejumbleFS"	"Original (HFS+)"
20	1586053	1285347
40	1658825	2026211
60	2037498	2043417
80	2711103	3370508
100	3789197	3496639
120	4678847	4872343
140	5738164	5683890
160	6611062	6614641
180	7428566	6768794
200	8155481	7944934
