""	"DejumbleFS"	"Original (HFS+)"
20	1586444	1241195
40	1608952	1966423
60	1972583	1965148
80	2617245	3272918
100	3607192	3930108
120	4096371	4651519
140	5470976	5271685
160	6239567	6176236
180	7108903	6675925
200	7929634	7175747
