""	"DejumbleFS"	"Original (HFS+)"
20	1527662	1163360
40	1377606	1587951
60	2394037	2197874
80	2591443	3193869
100	3153999	3101093
120	3661773	4217316
140	4374173	4478258
160	5181109	5136007
180	5436856	5714598
200	6609990	6456262
