""	"DejumbleFS"	"Original (HFS+)"
50 1005629 472381
100 2398577 1248686
150 3130937 1645823
200 4447051 2080889
250 4755812 2798703
300 6411122 2894312
350 7533682 3561463
400 8024625 3219351
450 9087552 3689922
500 10260597 4245457
